,ID,Age,Income,Sex_Female,Sex_Male,Marital status_non-single,Marital status_single,Education_graduate school,Education_high school,Education_other / unknown,Education_university,Occupation_management / self-employed,Occupation_official,Occupation_unemployed,Settlement size_big city,Settlement size_mid-sized city,Settlement size_small city
46,100000047,39,140182,0,1,0,1,0,1,0,0,0,1,0,0,0,1
47,100000048,23,65421,1,0,1,0,0,1,0,0,0,0,1,0,0,1
48,100000049,39,130500,0,1,0,1,0,1,0,0,0,0,1,0,0,1
49,100000050,28,122831,1,0,1,0,0,1,0,0,0,1,0,0,0,1
50,100000051,29,84531,0,1,0,1,0,0,1,0,0,0,1,0,0,1
51,100000052,30,180196,0,1,0,1,0,0,1,0,1,0,0,1,0,0
52,100000053,25,92058,0,1,0,1,0,0,1,0,0,1,0,1,0,0
53,100000054,31,117158,0,1,0,1,0,0,1,0,0,1,0,0,0,1
54,100000055,57,135830,0,1,0,1,0,0,0,1,0,1,0,0,1,0
55,100000056,26,58258,0,1,0,1,0,0,1,0,0,0,1,0,0,1
56,100000057,52,202575,0,1,0,1,0,1,0,0,1,0,0,1,0,0
57,100000058,31,183657,1,0,1,0,0,1,0,0,0,1,0,0,1,0
58,100000059,23,152267,1,0,1,0,0,1,0,0,1,0,0,0,1,0
59,100000060,23,115240,1,0,1,0,0,1,0,0,0,0,1,0,0,1
60,100000061,27,106955,0,1,1,0,0,1,0,0,0,1,0,1,0,0
61,100000062,50,123641,0,1,0,1,0,1,0,0,0,1,0,0,1,0
62,100000063,61,166410,0,1,0,1,0,0,0,1,1,0,0,0,1,0
63,100000064,25,227385,0,1,0,1,0,0,1,0,0,1,0,1,0,0
64,100000065,26,118372,1,0,1,0,0,1,0,0,0,1,0,0,1,0
65,100000066,48,148115,0,1,0,1,0,1,0,0,0,1,0,0,1,0
66,100000067,29,111069,1,0,1,0,0,1,0,0,0,1,0,0,0,1
67,100000068,22,139780,0,1,1,0,0,1,0,0,0,1,0,0,0,1
68,100000069,37,106978,0,1,0,1,0,1,0,0,0,1,0,1,0,0
69,100000070,25,110019,1,0,1,0,0,1,0,0,0,1,0,1,0,0
70,100000071,30,169102,1,0,1,0,0,1,0,0,0,1,0,0,1,0
71,100000072,46,73703,0,1,0,1,0,1,0,0,0,0,1,0,0,1
72,100000073,51,141858,0,1,0,1,0,1,0,0,1,0,0,1,0,0
73,100000074,41,135959,1,0,1,0,0,0,0,1,0,0,1,0,0,1
74,100000075,40,140888,0,1,0,1,0,1,0,0,1,0,0,1,0,0
75,100000076,66,157299,0,1,0,1,0,0,0,1,1,0,0,1,0,0
76,100000077,34,125187,0,1,0,1,0,1,0,0,0,1,0,0,1,0
77,100000078,51,155486,0,1,0,1,0,1,0,0,0,1,0,1,0,0
78,100000079,39,151697,0,1,0,1,0,1,0,0,0,0,1,0,0,1
79,100000080,22,126400,0,1,1,0,0,1,0,0,0,1,0,0,1,0
80,100000081,44,159246,1,0,1,0,0,0,0,1,0,1,0,1,0,0
81,100000082,47,136138,0,1,0,1,0,1,0,0,0,1,0,0,1,0
82,100000083,24,84792,1,0,1,0,0,1,0,0,0,0,1,0,0,1
83,100000084,58,100210,1,0,1,0,0,0,0,1,0,0,1,0,0,1
84,100000085,52,93706,0,1,0,1,0,1,0,0,0,0,1,0,0,1
85,100000086,29,133783,1,0,1,0,0,1,0,0,1,0,0,0,1,0
86,100000087,27,110064,1,0,1,0,0,1,0,0,0,1,0,1,0,0
87,100000088,47,241068,0,1,0,1,0,1,0,0,0,1,0,0,1,0
88,100000089,30,149022,0,1,0,1,0,0,1,0,1,0,0,1,0,0
89,100000090,28,92973,0,1,0,1,0,0,1,0,0,1,0,1,0,0
90,100000091,56,110605,0,1,0,1,0,1,0,0,0,1,0,0,1,0
91,100000092,54,116604,0,1,0,1,0,1,0,0,0,1,0,0,1,0
92,100000093,33,71070,1,0,1,0,0,1,0,0,0,0,1,0,0,1
93,100000094,20,128678,0,1,0,1,0,0,1,0,0,1,0,0,1,0
94,100000095,54,165230,0,1,0,1,0,1,0,0,0,1,0,1,0,0
95,100000096,58,268340,0,1,0,1,0,0,0,1,0,1,0,0,1,0
96,100000097,61,135070,1,0,1,0,0,0,0,1,0,1,0,0,1,0
97,100000098,34,134794,0,1,0,1,0,1,0,0,0,1,0,1,0,0
98,100000099,36,120153,0,1,0,1,0,1,0,0,0,1,0,0,1,0
99,100000100,36,195465,0,1,0,1,0,1,0,0,1,0,0,1,0,0
100,100000101,41,93372,0,1,1,0,0,1,0,0,0,0,1,0,0,1
101,100000102,24,110446,0,1,0,1,0,0,1,0,0,1,0,0,0,1
102,100000103,24,95186,1,0,1,0,0,1,0,0,0,1,0,0,1,0
103,100000104,35,115343,0,1,0,1,0,1,0,0,0,1,0,0,1,0
104,100000105,26,107276,0,1,1,0,0,1,0,0,0,1,0,0,1,0
105,100000106,39,244716,0,1,0,1,0,1,0,0,1,0,0,1,0,0
106,100000107,39,183108,0,1,0,1,0,1,0,0,1,0,0,1,0,0
107,100000108,32,152876,0,1,0,1,0,0,1,0,0,1,0,1,0,0
108,100000109,30,165147,1,0,1,0,0,1,0,0,0,1,0,0,0,1
109,100000110,35,140520,0,1,1,0,0,1,0,0,0,1,0,0,0,1
110,100000111,31,124203,0,1,1,0,0,1,0,0,0,1,0,0,1,0
111,100000112,23,107205,1,0,1,0,0,1,0,0,0,1,0,0,1,0
112,100000113,28,121432,0,1,0,1,0,0,1,0,0,0,1,1,0,0
113,100000114,25,162445,1,0,1,0,0,1,0,0,0,1,0,0,0,1
114,100000115,35,134112,0,1,1,0,0,1,0,0,0,1,0,0,1,0
115,100000116,47,131842,0,1,0,1,0,1,0,0,0,1,0,0,1,0
116,100000117,30,189896,1,0,1,0,0,1,0,0,1,0,0,0,0,1
117,100000118,27,109099,1,0,1,0,0,1,0,0,0,1,0,1,0,0
118,100000119,23,153539,1,0,1,0,0,1,0,0,0,1,0,0,1,0
119,100000120,36,180495,0,1,1,0,0,1,0,0,1,0,0,0,1,0
120,100000121,25,104653,1,0,1,0,0,1,0,0,0,1,0,1,0,0
121,100000122,41,166933,1,0,1,0,0,0,0,1,1,0,0,1,0,0
122,100000123,24,66118,0,1,0,1,0,0,1,0,0,0,1,0,0,1
123,100000124,63,135754,0,1,0,1,0,0,0,1,0,1,0,0,0,1
124,100000125,27,116103,1,0,1,0,0,1,0,0,0,1,0,1,0,0
125,100000126,30,104293,0,1,0,1,0,0,1,0,0,1,0,0,1,0
126,100000127,40,71702,0,1,1,0,0,1,0,0,0,0,1,0,0,1
127,100000128,30,99066,0,1,0,1,0,0,1,0,0,1,0,1,0,0
128,100000129,34,143979,0,1,0,1,0,1,0,0,1,0,0,1,0,0
129,100000130,29,123818,1,0,1,0,0,1,0,0,0,1,0,0,0,1
130,100000131,24,176714,1,0,1,0,0,1,0,0,0,1,0,1,0,0
131,100000132,29,149249,0,1,0,1,0,0,1,0,0,1,0,1,0,0
132,100000133,27,77535,0,1,0,1,0,0,1,0,0,0,1,0,0,1
133,100000134,47,116540,0,1,0,1,0,1,0,0,0,1,0,0,1,0
134,100000135,21,194728,1,0,1,0,0,1,0,0,0,1,0,0,0,1
135,100000136,38,109311,1,0,1,0,0,1,0,0,0,1,0,1,0,0
136,100000137,27,204723,0,1,0,1,0,0,1,0,0,1,0,1,0,0
137,100000138,66,126003,0,1,0,1,0,0,0,1,0,0,1,0,0,1
138,100000139,35,123109,0,1,0,1,0,1,0,0,0,1,0,0,1,0
139,100000140,44,108251,1,0,1,0,0,0,0,1,0,0,1,0,0,1
140,100000141,27,89908,0,1,1,0,0,1,0,0,0,0,1,0,0,1
141,100000142,30,176057,1,0,1,0,0,1,0,0,1,0,0,0,1,0
142,100000143,27,144332,0,1,0,1,0,0,1,0,1,0,0,1,0,0
143,100000144,22,101185,0,1,0,1,0,0,1,0,0,1,0,0,1,0
144,100000145,23,107406,1,0,1,0,0,1,0,0,0,1,0,1,0,0
145,100000146,30,140665,0,1,0,1,0,0,1,0,0,1,0,0,1,0
146,100000147,39,106461,1,0,1,0,0,0,0,1,0,1,0,0,0,1
147,100000148,51,127825,1,0,1,0,0,0,0,1,0,1,0,0,0,1
148,100000149,28,133898,0,1,0,1,0,0,1,0,0,1,0,0,1,0
149,100000150,46,152383,0,1,0,1,0,1,0,0,0,1,0,1,0,0
150,100000151,42,119926,0,1,0,1,0,1,0,0,0,1,0,0,0,1
151,100000152,38,108784,0,1,0,1,0,1,0,0,0,1,0,1,0,0
152,100000153,24,153286,0,1,0,1,0,0,1,0,0,1,0,0,1,0
153,100000154,29,214204,1,0,1,0,0,1,0,0,0,1,0,1,0,0
154,100000155,36,208101,0,1,0,1,0,1,0,0,1,0,0,1,0,0
155,100000156,20,95355,1,0,1,0,0,1,0,0,0,1,0,0,1,0
156,100000157,48,124156,0,1,0,1,0,1,0,0,0,1,0,0,1,0
157,100000158,45,72215,0,1,1,0,0,0,0,1,0,0,1,0,0,1
158,100000159,38,146529,0,1,0,1,0,1,0,0,0,1,0,1,0,0
159,100000160,34,75343,0,1,0,1,0,1,0,0,0,0,1,0,0,1
160,100000161,36,129789,0,1,0,1,0,1,0,0,0,1,0,0,1,0
161,100000162,30,101153,1,0,1,0,0,1,0,0,0,1,0,0,1,0
162,100000163,36,127833,0,1,0,1,0,1,0,0,0,1,0,1,0,0
163,100000164,70,224998,0,1,0,1,0,0,0,1,1,0,0,1,0,0
164,100000165,36,124445,0,1,0,1,0,1,0,0,0,1,0,1,0,0
165,100000166,32,141116,0,1,0,1,0,0,1,0,0,1,0,0,1,0
166,100000167,33,104276,1,0,1,0,0,1,0,0,0,1,0,1,0,0
167,100000168,20,147687,1,0,1,0,0,1,0,0,0,1,0,1,0,0
168,100000169,25,125168,1,0,1,0,0,1,0,0,0,1,0,0,1,0
169,100000170,31,115369,0,1,1,0,0,1,0,0,0,1,0,1,0,0
170,100000171,33,95445,0,1,0,1,0,1,0,0,0,1,0,0,0,1
171,100000172,26,95159,1,0,1,0,0,1,0,0,0,1,0,0,1,0
172,100000173,34,153031,1,0,1,0,0,1,0,0,1,0,0,1,0,0
173,100000174,33,108899,0,1,0,1,0,1,0,0,0,1,0,0,0,1
174,100000175,26,113515,0,1,0,1,0,0,1,0,0,1,0,0,1,0
175,100000176,53,211229,1,0,1,0,0,0,0,1,1,0,0,0,0,1
176,100000177,42,121307,0,1,1,0,0,0,0,1,0,1,0,0,0,1
177,100000178,52,131727,0,1,0,1,0,1,0,0,0,1,0,1,0,0
178,100000179,31,133574,0,1,0,1,0,0,1,0,1,0,0,0,1,0
179,100000180,65,117334,0,1,0,1,0,0,0,1,0,1,0,0,0,1
180,100000181,28,177291,0,1,1,0,0,1,0,0,0,1,0,1,0,0
181,100000182,30,168763,0,1,1,0,0,1,0,0,1,0,0,0,1,0
182,100000183,40,77720,0,1,0,1,0,1,0,0,0,0,1,0,0,1
183,100000184,50,176645,0,1,0,1,0,1,0,0,0,1,0,1,0,0
184,100000185,36,106205,0,1,0,1,0,1,0,0,0,1,0,0,1,0
185,100000186,31,97785,0,1,0,1,0,0,1,0,0,1,0,0,1,0
186,100000187,74,214364,1,0,1,0,1,0,0,0,1,0,0,0,1,0
187,100000188,68,74525,0,1,0,1,0,0,0,1,0,0,1,0,0,1
188,100000189,20,98988,0,1,1,0,0,1,0,0,0,1,0,0,0,1
189,100000190,33,133561,1,0,1,0,0,1,0,0,0,1,0,0,1,0
190,100000191,54,217651,0,1,0,1,0,1,0,0,1,0,0,1,0,0
191,100000192,34,116525,0,1,0,1,0,1,0,0,0,0,1,0,0,1
192,100000193,36,135302,0,1,0,1,0,1,0,0,0,1,0,1,0,0
193,100000194,29,106434,0,1,1,0,0,1,0,0,0,1,0,0,1,0
194,100000195,21,128350,0,1,0,1,0,0,1,0,0,1,0,1,0,0
195,100000196,34,147626,1,0,1,0,0,1,0,0,1,0,0,1,0,0
196,100000197,28,102697,1,0,1,0,0,1,0,0,0,1,0,0,0,1
197,100000198,27,120262,1,0,1,0,0,1,0,0,0,1,0,0,0,1
198,100000199,36,124214,0,1,0,1,0,1,0,0,0,1,0,1,0,0
199,100000200,40,175223,0,1,1,0,0,1,0,0,1,0,0,0,1,0
200,100000201,52,137467,0,1,0,1,0,1,0,0,0,1,0,0,0,1
201,100000202,27,65815,0,1,1,0,0,1,0,0,0,0,1,0,0,1
202,100000203,26,129864,0,1,0,1,0,0,1,0,0,1,0,0,1,0
203,100000204,21,88475,0,1,1,0,0,1,0,0,0,1,0,0,1,0
204,100000205,38,74666,0,1,0,1,0,1,0,0,0,0,1,0,0,1
205,100000206,38,222294,0,1,0,1,0,1,0,0,1,0,0,1,0,0
206,100000207,43,112878,0,1,0,1,0,1,0,0,0,1,0,0,0,1
207,100000208,26,103411,0,1,0,1,0,0,1,0,0,1,0,1,0,0
208,100000209,21,112868,0,1,1,0,0,1,0,0,0,0,1,0,0,1
209,100000210,55,157940,0,1,0,1,0,1,0,0,0,1,0,1,0,0
210,100000211,33,115835,0,1,0,1,0,1,0,0,0,1,0,1,0,0
211,100000212,45,109807,1,0,1,0,0,0,0,1,0,0,1,0,0,1
212,100000213,50,150699,0,1,0,1,0,1,0,0,0,1,0,0,1,0
213,100000214,66,178967,0,1,0,1,0,0,0,1,1,0,0,0,0,1
214,100000215,51,132767,0,1,0,1,0,1,0,0,0,1,0,0,0,1
215,100000216,39,86152,1,0,1,0,0,0,0,1,0,0,1,0,0,1
216,100000217,31,114528,0,1,0,1,0,0,1,0,0,1,0,1,0,0
217,100000218,23,133912,0,1,0,1,0,0,1,0,0,1,0,0,1,0
218,100000219,24,81210,0,1,1,0,0,1,0,0,0,0,1,0,0,1
219,100000220,64,131242,1,0,1,0,1,0,0,0,0,1,0,0,0,1
220,100000221,26,68804,0,1,1,0,0,1,0,0,0,0,1,0,0,1
221,100000222,23,96961,1,0,1,0,0,1,0,0,0,1,0,0,1,0
222,100000223,30,90719,0,1,0,1,0,0,1,0,0,1,0,1,0,0
223,100000224,32,114116,0,1,0,1,0,0,1,0,0,1,0,0,1,0
224,100000225,30,128639,0,1,0,1,0,0,1,0,0,1,0,0,1,0
225,100000226,27,106623,0,1,0,1,0,0,1,0,0,1,0,0,1,0
226,100000227,27,236264,0,1,0,1,0,0,1,0,0,1,0,0,1,0
227,100000228,53,207783,0,1,0,1,0,1,0,0,1,0,0,0,1,0
228,100000229,22,91739,0,1,0,1,0,0,1,0,0,1,0,0,1,0
229,100000230,22,107780,0,1,0,1,0,0,1,0,0,1,0,1,0,0
230,100000231,26,139157,0,1,0,1,0,0,1,0,0,1,0,1,0,0
231,100000232,51,121751,0,1,0,1,0,1,0,0,0,0,1,0,0,1
232,100000233,35,121974,0,1,0,1,0,1,0,0,0,1,0,0,0,1
233,100000234,25,70320,0,1,1,0,0,1,0,0,0,0,1,0,0,1
234,100000235,42,78327,0,1,0,1,0,1,0,0,0,0,1,0,0,1
235,100000236,30,131433,0,1,0,1,0,0,1,0,1,0,0,0,0,1
236,100000237,23,167076,0,1,0,1,0,0,1,0,0,0,1,1,0,0
237,100000238,61,130788,0,1,1,0,0,0,0,1,0,0,1,0,0,1
238,100000239,35,107408,1,0,1,0,0,1,0,0,0,1,0,0,1,0
239,100000240,39,115323,0,1,0,1,0,1,0,0,0,1,0,0,1,0
240,100000241,29,99012,1,0,1,0,0,1,0,0,0,1,0,0,0,1
241,100000242,51,115996,0,1,0,1,0,1,0,0,0,1,0,0,1,0
242,100000243,24,123353,0,1,0,1,0,0,1,0,0,1,0,0,1,0
243,100000244,27,100008,1,0,1,0,0,1,0,0,0,1,0,0,0,1
244,100000245,35,125105,1,0,1,0,0,1,0,0,0,0,1,0,0,1
245,100000246,25,92020,0,1,0,1,0,0,1,0,0,1,0,1,0,0
246,100000247,52,108365,0,1,0,1,0,1,0,0,0,1,0,1,0,0
247,100000248,35,112979,0,1,0,1,0,1,0,0,0,1,0,0,0,1
248,100000249,26,117221,0,1,0,1,0,0,1,0,0,1,0,0,1,0
249,100000250,22,88800,1,0,1,0,0,1,0,0,0,1,0,1,0,0
250,100000251,39,115099,1,0,1,0,0,0,0,1,0,0,1,0,0,1
251,100000252,46,113399,1,0,1,0,0,0,0,1,0,0,1,0,0,1
252,100000253,24,115879,1,0,1,0,0,1,0,0,0,1,0,0,1,0
253,100000254,35,141270,0,1,0,1,0,1,0,0,0,1,0,1,0,0
254,100000255,24,107633,0,1,0,1,0,0,1,0,0,1,0,0,1,0
255,100000256,27,131751,0,1,0,1,0,0,1,0,0,0,1,0,0,1
256,100000257,35,83687,0,1,0,1,0,1,0,0,0,0,1,0,0,1
257,100000258,29,106828,0,1,1,0,0,1,0,0,0,1,0,1,0,0
258,100000259,23,135537,1,0,1,0,0,1,0,0,0,1,0,0,1,0
259,100000260,57,107142,1,0,1,0,0,0,0,1,0,0,1,0,0,1
260,100000261,27,97446,0,1,0,1,0,0,1,0,0,1,0,0,1,0
261,100000262,55,126357,1,0,1,0,0,0,0,1,0,1,0,1,0,0
262,100000263,36,169617,0,1,0,1,0,1,0,0,1,0,0,0,1,0
263,100000264,57,108945,1,0,1,0,0,0,0,1,0,0,1,0,0,1
264,100000265,32,67345,0,1,0,1,0,0,1,0,0,0,1,0,0,1
265,100000266,37,106215,0,1,0,1,0,1,0,0,0,1,0,0,0,1
266,100000267,36,149237,0,1,0,1,0,1,0,0,0,1,0,0,0,1
267,100000268,38,112124,1,0,1,0,0,1,0,0,0,1,0,0,0,1
268,100000269,45,215150,0,1,1,0,0,0,0,1,1,0,0,1,0,0
269,100000270,25,89534,0,1,0,1,0,0,1,0,0,1,0,0,1,0
270,100000271,32,111082,0,1,0,1,0,0,1,0,0,1,0,1,0,0
271,100000272,37,137069,1,0,1,0,0,1,0,0,0,1,0,0,1,0
272,100000273,36,244541,0,1,0,1,0,1,0,0,1,0,0,1,0,0
273,100000274,28,120712,0,1,0,1,0,0,1,0,0,1,0,0,1,0
274,100000275,34,175367,0,1,1,0,0,1,0,0,0,0,1,0,0,1
275,100000276,32,111418,0,1,0,1,0,0,1,0,0,1,0,0,1,0
276,100000277,26,110913,1,0,1,0,0,1,0,0,0,1,0,0,0,1
277,100000278,49,84267,0,1,1,0,0,0,0,1,0,0,1,0,0,1
278,100000279,32,136886,1,0,1,0,0,1,0,0,0,1,0,1,0,0
279,100000280,29,144884,0,1,0,1,0,0,1,0,1,0,0,1,0,0
280,100000281,23,151180,0,1,0,1,0,0,1,0,0,1,0,0,1,0
281,100000282,50,114997,0,1,0,1,0,1,0,0,0,1,0,0,1,0
282,100000283,49,100961,0,1,0,1,0,1,0,0,0,0,1,0,0,1
283,100000284,63,124849,0,1,0,1,0,0,0,1,0,1,0,1,0,0
284,100000285,37,152308,0,1,1,0,0,1,0,0,0,1,0,1,0,0
285,100000286,35,167945,1,0,1,0,0,1,0,0,0,0,1,0,1,0
286,100000287,26,126706,0,1,0,1,0,0,1,0,0,1,0,1,0,0
287,100000288,31,210017,0,1,0,1,0,0,1,0,1,0,0,1,0,0
288,100000289,49,125665,1,0,1,0,0,0,0,1,0,1,0,0,1,0
289,100000290,48,111184,0,1,1,0,0,0,0,1,0,1,0,0,1,0
290,100000291,26,94134,0,1,1,0,0,1,0,0,0,1,0,0,0,1
291,100000292,28,214620,0,1,1,0,0,1,0,0,1,0,0,0,1,0
292,100000293,44,193816,1,0,1,0,0,0,0,1,1,0,0,0,1,0
293,100000294,56,168714,0,1,0,1,0,1,0,0,0,1,0,0,1,0
294,100000295,46,202997,0,1,1,0,0,0,0,1,1,0,0,0,1,0
295,100000296,26,192451,1,0,1,0,0,1,0,0,0,1,0,1,0,0
296,100000297,20,127928,1,0,1,0,0,1,0,0,0,1,0,1,0,0
297,100000298,45,78253,0,1,0,1,0,1,0,0,0,0,1,0,0,1
298,100000299,43,118446,0,1,0,1,0,1,0,0,0,1,0,0,1,0
299,100000300,32,161379,0,1,0,1,0,0,1,0,0,1,0,1,0,0
300,100000301,54,56622,1,0,1,0,0,0,0,1,0,0,1,0,0,1
301,100000302,42,146117,1,0,1,0,0,0,0,1,0,1,0,0,1,0
302,100000303,37,90418,0,1,0,1,0,1,0,0,0,0,1,0,0,1
303,100000304,49,109053,0,1,0,1,0,1,0,0,0,1,0,0,0,1
304,100000305,44,219319,0,1,0,1,0,1,0,0,0,1,0,0,0,1
305,100000306,33,144701,0,1,1,0,0,1,0,0,0,1,0,0,1,0
306,100000307,24,102425,1,0,1,0,0,1,0,0,0,0,1,0,0,1
307,100000308,33,79867,0,1,1,0,0,1,0,0,0,0,1,0,0,1
308,100000309,24,107114,1,0,1,0,0,1,0,0,0,1,0,1,0,0
309,100000310,22,62263,0,1,1,0,0,1,0,0,0,0,1,0,0,1
310,100000311,40,92567,0,1,0,1,0,1,0,0,0,0,1,0,0,1
311,100000312,25,146349,0,1,0,1,0,0,1,0,0,1,0,0,0,1
312,100000313,26,141825,1,0,1,0,0,1,0,0,0,1,0,0,1,0
313,100000314,25,68582,0,1,1,0,0,1,0,0,0,0,1,0,0,1
314,100000315,29,85476,0,1,0,1,0,0,1,0,0,0,1,0,0,1
315,100000316,31,111091,0,1,0,1,0,0,1,0,0,1,0,1,0,0
316,100000317,38,67110,0,1,0,1,0,1,0,0,0,0,1,0,0,1
317,100000318,48,126154,1,0,1,0,0,0,0,1,0,0,1,0,0,1
318,100000319,32,92257,0,1,0,1,0,0,1,0,0,1,0,1,0,0
319,100000320,27,93605,1,0,1,0,0,1,0,0,0,0,1,0,0,1
320,100000321,28,165190,0,1,1,0,0,1,0,0,1,0,0,0,0,1
321,100000322,32,107195,0,1,1,0,0,1,0,0,0,1,0,0,0,1
322,100000323,34,145059,0,1,0,1,0,1,0,0,1,0,0,0,0,1
323,100000324,28,148363,0,1,0,1,0,0,1,0,0,1,0,0,0,1
324,100000325,36,105681,1,0,1,0,0,1,0,0,0,1,0,1,0,0
325,100000326,39,93732,0,1,0,1,0,1,0,0,0,0,1,0,0,1
326,100000327,49,154778,0,1,0,1,0,1,0,0,0,1,0,1,0,0
327,100000328,34,149356,1,0,1,0,0,1,0,0,0,1,0,1,0,0
328,100000329,31,145670,0,1,0,1,0,0,1,0,0,1,0,0,1,0
329,100000330,28,101589,0,1,0,1,0,0,1,0,0,1,0,1,0,0
330,100000331,75,213333,0,1,0,1,0,0,0,1,1,0,0,0,1,0
331,100000332,30,122420,1,0,1,0,0,1,0,0,0,1,0,0,0,1
332,100000333,24,209856,1,0,1,0,0,1,0,0,1,0,0,0,1,0
333,100000334,24,181003,1,0,1,0,0,1,0,0,0,0,1,0,0,1
334,100000335,23,117804,0,1,0,1,0,0,1,0,0,1,0,0,1,0
335,100000336,44,160650,0,1,1,0,0,0,0,1,1,0,0,0,1,0
336,100000337,23,84611,1,0,1,0,0,1,0,0,0,0,1,0,0,1
337,100000338,24,98479,1,0,1,0,0,1,0,0,0,1,0,1,0,0
338,100000339,28,122359,0,1,0,1,0,0,1,0,0,1,0,1,0,0
339,100000340,31,81394,0,1,1,0,0,1,0,0,0,0,1,0,0,1
340,100000341,24,150372,1,0,1,0,0,1,0,0,0,1,0,0,1,0
341,100000342,26,92385,1,0,1,0,0,1,0,0,0,0,1,0,0,1
342,100000343,25,149851,0,1,1,0,0,1,0,0,0,1,0,1,0,0
343,100000344,33,167939,0,1,0,1,0,1,0,0,1,0,0,0,1,0
344,100000345,37,115426,0,1,0,1,0,1,0,0,0,0,1,0,0,1
345,100000346,43,85402,1,0,1,0,0,0,0,1,0,0,1,0,0,1
346,100000347,23,95815,0,1,0,1,0,0,1,0,0,1,0,1,0,0
347,100000348,23,97518,1,0,1,0,0,1,0,0,0,0,1,0,0,1
348,100000349,34,87355,0,1,0,1,0,1,0,0,0,0,1,0,0,1
349,100000350,32,145933,0,1,0,1,0,0,1,0,0,1,0,0,1,0
350,100000351,23,97307,1,0,1,0,0,1,0,0,0,1,0,0,0,1
351,100000352,29,108434,1,0,1,0,0,1,0,0,0,1,0,1,0,0
